Country	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	
East Asia and Pacific
American Samoa	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7,393.68	7,518.32	7,814.25	7,741.29	7,640.22	7,592.73	7,524.50	7,408.52	7,168.46	6,887.91	6,766.62	6,988.29	7,035.26	7,013.70	7,098.35	7,113.80	7,152.70	n/a
Cambodia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	297.83	302.13	316.26	335.91	320.63	344.63	356.91	366.40	367.15	391.55	415.39	458.47	506.39	533.44	545.72	606.23	596.18	638.55	693.95	714.39	743.19	763.94	796.34	836.85	861.77	887.79	923.25
China	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	452.22	499.31	523.60	553.69	600.17	664.48	705.74	765.02	807.09	867.19	957.15	1,049.07	1,187.37	1,285.05	1,406.44	1,562.00	1,788.45	1,943.59	2,105.43	2,287.40	2,473.87	2,680.41	2,919.62	3,148.19	3,327.29
Fiji	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,641.86	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Indonesia	358.28	376.28	391.98	366.59	359.69	358.46	343.77	364.11	386.75	398.57	399.03	405.97	422.14	422.70	469.02	476.22	493.39	513.55	542.01	598.56	659.07	751.41	758.93	797.65	811.46	802.65	803.69	814.17	829.92	848.69	916.03	965.99	976.91	1,016.99	1,079.26	1,196.46	1,293.28	1,374.31	1,271.37	1,311.85	1,314.35	1,341.79	1,374.48	1,408.85	1,459.12	1,496.67	1,523.77	1,579.02	1,641.41	1,698.44	1,755.30	1,819.43	1,894.01	1,971.16	2,048.28	2,120.40	2,200.36	2,282.99	2,373.18	2,468.34
Kiribati	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,535.40	1,418.35	1,365.26	1,428.98	1,426.95	1,456.04	1,499.33	1,644.91	1,700.65	1,742.57	1,596.34	n/a
Lao People's Democratic Republic	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	413.37	485.68	472.54	535.65	583.50	613.80	631.93	624.54	718.79	736.65	850.79	864.42	978.28	1,010.73	1,042.25	1,072.81	1,104.27	n/a	n/a	n/a
Malaysia	930.15	958.37	973.36	973.55	993.92	1,017.26	1,027.56	1,011.31	1,001.94	1,041.20	1,051.07	1,089.67	1,120.62	1,190.56	1,267.26	1,229.67	1,267.90	1,361.35	1,464.11	1,581.52	1,738.09	1,782.91	1,798.66	1,812.34	1,881.90	1,839.13	1,609.16	1,594.76	1,729.91	1,903.73	2,070.86	2,198.41	2,242.28	2,323.52	2,479.01	2,699.07	2,811.63	2,858.66	2,502.02	2,511.49	2,773.47	2,795.39	2,843.74	3,013.42	3,245.59	3,472.32	3,629.61	3,930.90	4,192.74	4,140.11	4,350.01	4,576.75	4,887.53	5,170.54	5,457.61	5,708.73	5,961.26	6,286.98	6,695.72	7,111.74
Marshall Islands	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2,588.46	2,554.94	2,406.93	2,483.48	2,344.17	2,192.83	2,176.00	2,265.99	2,300.28	2,463.87	2,351.73	2,313.01	2,385.41	2,615.21	2,578.26	n/a
Mongolia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,459.55	1,659.76	1,839.47	2,081.31	2,168.50	2,299.41	2,196.66	2,271.83	2,508.32	2,709.05
Myanmar	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	553.03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Northern Mariana Islands	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	9,815.22	10,410.70	10,173.00	8,767.94	9,370.29	9,302.52	9,276.10	7,917.23	8,189.58	7,925.33	8,065.00	8,413.30	8,694.05	8,905.56	9,177.52	9,750.44	9,590.58	n/a
Palau	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6,995.99	7,125.19	7,443.80	7,566.03	7,273.29	7,167.86	7,469.56	8,065.61	8,277.83	8,427.47	8,764.78	9,273.59	9,210.76	9,651.97	n/a
Philippines	742.39	753.22	770.17	790.06	795.71	809.01	824.80	841.06	854.74	863.31	863.66	867.51	870.76	894.96	912.47	929.82	949.60	972.58	995.69	1,015.85	1,032.99	1,031.78	1,038.64	1,016.79	992.14	954.46	960.01	972.49	1,006.16	1,029.46	1,057.61	1,054.93	1,063.08	1,069.53	1,083.48	1,098.95	1,123.71	1,153.47	1,167.01	1,187.71	1,222.75	1,244.14	1,280.39	1,321.87	1,372.51	1,406.68	1,439.46	1,483.09	1,514.87	1,527.80	1,556.50	1,615.36	1,696.03	1,764.61	1,836.20	1,923.91	2,030.62	2,120.72	2,211.88	2,309.89
Thailand	460.11	460.24	480.53	490.36	503.06	520.62	538.96	577.19	617.68	631.32	637.85	631.13	652.26	689.40	703.70	722.69	760.12	801.54	833.38	875.38	904.05	905.69	908.58	959.66	984.19	980.43	997.00	1,063.99	1,137.18	1,244.64	1,385.41	1,443.31	1,553.15	1,668.71	1,783.70	1,912.15	1,986.25	1,935.19	1,716.96	1,766.31	1,870.97	1,962.99	2,067.88	2,203.26	2,350.70	2,433.69	2,486.79	2,502.37	2,559.78	2,524.02	2,648.61	2,684.26	2,867.61	2,881.86	2,884.77	2,947.96	3,021.62	3,104.17	3,235.62	3,370.66
Timor-Leste	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	658.49	732.25	703.51	638.85	635.72	611.30	528.15	548.35	508.08	564.65	575.75	572.57	580.68	599.82	622.02	602.70	618.12	625.05	623.12	632.73
Tonga	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3,481.78	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Vanuatu	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,822.80	1,823.35	1,832.22	1,784.72	1,794.34	1,796.86	1,796.97	1,801.72	1,805.57	1,816.16	1,835.32	n/a	n/a	n/a	n/a	n/a
Vietnam	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	390.56	411.70	442.29	461.97	476.53	483.21	492.62	509.34	542.87	580.89	616.40	655.07	697.45	758.47	808.83	818.99	877.21	903.86	938.14	976.39	1,025.29	1,109.31	1,178.06	1,251.85	1,329.47	1,413.68
Europe and Central Asia
Albania	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,877.26	1,549.57	1,475.89	1,529.85	1,635.04	1,716.45	1,845.02	2,044.17	2,128.52	2,276.21	2,448.85	2,781.57	3,086.85	3,129.94	3,198.07	3,263.48	3,273.09	3,339.33	3,440.48	3,491.86	3,572.12	3,662.27	3,793.91	n/a
Armenia	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	911.51	1,020.09	1,078.30	1,177.74	1,243.94	1,261.20	1,373.35	1,481.32	1,612.80	1,739.10	1,904.75	2,091.44	2,282.44	2,606.89	2,770.31	2,664.46	2,776.07	2,843.46	3,093.42	3,130.37	3,163.58	2,913.01	2,842.73	3,231.02	3,377.94	3,764.50
Azerbaijan	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,158.11	852.07	615.34	592.48	642.24	711.77	803.05	893.15	1,078.48	1,036.73	1,156.92	1,214.52	1,332.18	1,598.15	2,155.61	2,516.81	2,626.81	2,737.21	2,299.88	2,812.78	2,836.72	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Belarus	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1,101.86	1,032.63	973.92	924.15	795.85	705.37	745.47	830.02	944.46	1,034.71	1,119.93	1,320.51	1,475.66	1,592.91	1,754.58	2,025.27	2,296.59	2,615.60	3,053.29	3,060.11	3,355.06	3,435.44	3,806.07	4,210.82	4,387.15	4,278.56	4,136.90	4,332.06	4,682.20	4,905.90
Bosnia and Herzegovina	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3,760.43	4,031.37	4,045.16	3,892.69	3,928.28	3,969.55	4,005.38	4,078.04	4,227.33	4,359.84	4,510.43	4,605.87	4,752.94	4,916.59
